year,total_earners,total_earners_salary,no_high_school_earners,no_high_school_salary,high_school_earners,high_school_salary,some_college_earners,some_college_salary,bachelors_earners,bachelors_salary,adv_earners,adv_salary
2021,165282,63050,10886,31050,43930,42850,44019,48070,41873,80380,24572,110600
2020,164611,72520,10985,35940,42240,39498,45240,44176,41910,73499,24236,104833
2019,167216,52380,11414,22810,42599,39371,46886,45091,42153,73163,24164,106766
2018,165179,64340,12058,31870,42882,38936,46887,43053,40231,71155,23118,99919
2017,163871,74320,12240,36980,42816,38145,47382,41507,39153,67763,22277,98369
2016,162218,52590,12281,22490,42897,36702,48128,40201,37272,67267,21639,95203
2015,161074,69240,13159,30360,42404,35615,47961,38943,36348,65482,21199,92525
2014,158000,80930,13197,34530,42529,34099,47023,37945,35305,62466,19944,88056
2013,156031,55880,12961,23270,42433,32881,46952,36428,34422,59661,19261,90304
2012,155148,50260,13030,26490,41915,32630,47469,35943,33948,60159,18783,89253
2011,152711,52700,13594,27670,42129,32493,45999,35585,33188,59415,17800,87981
2010,151747,48050,13540,25140,42650,30999,45604,34469,32371,57619,17582,83930
2009,152707,79770,14083,28870,44396,30627,45239,34773,32127,56665,16860,85818
2008,155989,93980,15217,33490,45182,31283,46663,34808,31890,58613,17035,83144
2007,155738,64320,15330,23620,45393,31286,46577,35138,31832,57181,16604,80977
2006,154438,45680,16652,32900,45936,31071,45073,34650,31006,56788,15769,82320
2005,152215,50460,16317,38300,45652,29448,45434,33496,29658,54689,15152,79946
2004,150096,39460,16373,22450,45545,28645,44381,32012,29050,51554,14746,78093
2003,148660,63970,16282,31700,45064,27915,44048,31498,28672,51206,14592,74602
2002,148492,73860,16931,36750,45407,27280,43776,31046,28257,51194,14119,72824
2001,147829,52390,17293,22540,45641,26795,43214,30782,27980,50623,13700,72869
2000,147966,68850,17425,30140,45977,25692,43874,29939,27488,49595,13200,71194
1999,146212,80440,17224,34280,46531,24551,43019,28469,26490,45644,12949,67756
1998,142053,55670,16742,23130,45987,23594,41412,27566,25818,43782,12095,63473
1997,140367,49810,16962,26010,45976,22895,40802,26235,25035,40478,11591,63229
1996,138703,52340,17075,27320,45908,22154,40410,25181,24028,38112,11281,61317
1995,136221,47540,16990,24520,44546,21431,40142,23862,23285,36980,11258,56667
1994,135096,78010,16479,28620,44614,20248,40135,22226,22712,37224,11155,56105
1993,133119,91460,16575,32940,44779,19422,39429,21539,21815,35121,10521,55789
1992,131891,63720,17055,24090,45600,18637,37730,20680,21080,32525,10426,48548
1991,130371,22332,17553,12613,46508,18261,35732,20551,20475,31323,10103,46038
1990,130080,21793,18698,12582,51977,17820,28993,20694,18128,31112,12285,41458
1989,129094,21414,19137,12242,51846,17594,28078,20255,17767,30736,12265,41019
1988,127564,20060,19635,11889,51297,16750,27217,19066,17308,28344,12109,37724
1987,124874,19016,19748,11824,50815,15939,26404,18054,16497,26919,11411,35968
1986,122757,18149,19665,11203,50104,15120,26113,17073,15788,26511,11087,34787
1985,120651,17181,19692,10726,49674,14457,25402,16349,15373,24877,10510,32909
1984,118183,16083,20206,10384,48452,13893,24463,14936,14653,23072,10410,30192
1983,115095,15137,20020,9853,47560,13044,23208,14245,13929,21532,10377,28333
1982,113451,14351,20789,9387,46584,12560,22602,13503,13425,20272,10051,26915
1981,113301,13624,22296,9357,47332,12109,21759,13176,12579,19006,9336,25281
1980,111919,12665,23028,8845,46795,11314,21384,12409,12175,18075,8535,23308
1979,110826,11795,23783,8420,45497,10624,21174,11377,11751,16514,8621,21874
1978,106436,10812,23787,7759,43510,9834,20121,10357,11001,15291,8017,20173
1977,103119,9887,24854,7066,41696,9013,18905,9607,10357,14207,7309,19077
1976,100510,9180,25035,6720,40570,8393,17786,8813,10132,13033,6985,17911
1975,97881,8552,24916,6198,39827,7843,16917,8388,9764,12332,6457,16725
